date,open
11/20/2017,313.79
11/17/2017,325.67
11/16/2017,313.99
11/15/2017,306.01
11/14/2017,315
11/13/2017,300.13
11/10/2017,302.5
11/9/2017,302.5
11/8/2017,305.5
11/7/2017,301.02
11/6/2017,307
11/3/2017,299.5
11/2/2017,300.13
11/1/2017,332.25
10/31/2017,320.23
10/30/2017,319.18
10/27/2017,319.75
10/26/2017,327.78
10/25/2017,336.7
10/24/2017,338.8
10/23/2017,349.88
10/20/2017,352.69
10/19/2017,355.56
10/18/2017,355.97
10/17/2017,350.91
10/16/2017,353.76
10/13/2017,356.98
10/12/2017,352.95
10/11/2017,353.89
10/10/2017,346.8
10/9/2017,349.65
10/6/2017,353.1
10/5/2017,356
10/4/2017,351.25
10/3/2017,335.9
10/2/2017,342.52
9/29/2017,341.86
9/28/2017,339.88
9/27/2017,349.9
9/26/2017,350.93
9/25/2017,353.15
9/22/2017,366.49
9/21/2017,374.9
9/20/2017,373
9/19/2017,380
9/18/2017,380.25
9/15/2017,374.51
9/14/2017,364.33
9/13/2017,363.82
9/12/2017,364.49
9/11/2017,351.35
9/8/2017,348.99
9/7/2017,345.98
9/6/2017,349.5
9/5/2017,353.8
9/1/2017,356.12
8/31/2017,353.55
8/30/2017,349.67
8/29/2017,339.48
8/28/2017,347.28
8/25/2017,354.24
8/24/2017,352.52
8/23/2017,338.99
8/22/2017,341.13
8/21/2017,345.82
8/18/2017,352.91
8/17/2017,361.21
8/16/2017,363
8/15/2017,365.2
8/14/2017,364.63
8/11/2017,356.97
8/10/2017,361.6
8/9/2017,361
8/8/2017,357.53
8/7/2017,357.35
8/4/2017,347
8/3/2017,345.33
8/2/2017,318.94
8/1/2017,323
7/31/2017,335.5
7/28/2017,336.89
7/27/2017,346
7/26/2017,340.36
7/25/2017,345
7/24/2017,330.24
7/21/2017,329.46
7/20/2017,326.9
7/19/2017,328.23
7/18/2017,317.5
7/17/2017,325.54
7/14/2017,323.19
7/13/2017,330.11
7/12/2017,330.4
7/11/2017,316
7/10/2017,312.9
7/7/2017,313.5
7/6/2017,317.26
7/5/2017,347.2
7/3/2017,370.24
6/30/2017,363.71
6/29/2017,370.61
6/28/2017,366.68
6/27/2017,376.4
6/26/2017,386.69
6/23/2017,382.45
6/22/2017,377.99
6/21/2017,374.35
6/20/2017,376.67
6/19/2017,375
6/16/2017,377.975
6/15/2017,372.5
6/14/2017,381.085
6/13/2017,367.62
6/12/2017,357.99
6/9/2017,374.42
6/8/2017,363.75
6/7/2017,356.34
6/6/2017,344.7
6/5/2017,338.5
6/2/2017,339.77
6/1/2017,344
5/31/2017,337.69
5/30/2017,326
5/26/2017,317.28
5/25/2017,311.02
5/24/2017,306.51
5/23/2017,310.46
5/22/2017,312.8
5/19/2017,315.5
5/18/2017,307
5/17/2017,314.39
5/16/2017,317.59
5/15/2017,318.38
5/12/2017,325.48
5/11/2017,323.4
5/10/2017,321.56
5/9/2017,309.38
5/8/2017,310.9
5/5/2017,298
5/4/2017,307.435
5/3/2017,317.67
5/2/2017,324
5/1/2017,314.88
4/28/2017,309.83
4/27/2017,311.69
4/26/2017,312.37
4/25/2017,308
4/24/2017,309.22
4/21/2017,302
4/20/2017,306.51
4/19/2017,302.46
4/18/2017,299.7
4/17/2017,302.7
4/13/2017,296.7
4/12/2017,306.34
4/11/2017,313.38
4/10/2017,309.15
4/7/2017,297.5
4/6/2017,296.88
4/5/2017,302.04
4/4/2017,296.89
4/3/2017,286.9
3/31/2017,278.73
3/30/2017,278.04
3/29/2017,278.34
3/28/2017,277.02
3/27/2017,260.6
3/24/2017,255.7
3/23/2017,255.39
3/22/2017,251.56
3/21/2017,262.83
3/20/2017,260.6
3/17/2017,264
3/16/2017,262.4
3/15/2017,257
3/14/2017,246.11
3/13/2017,244.82
3/10/2017,246.21
3/9/2017,247.63
3/8/2017,247
3/7/2017,251.92
3/6/2017,247.91
3/3/2017,250.74
3/2/2017,249.71
3/1/2017,254.18
2/28/2017,244.19
2/27/2017,248.17
2/24/2017,252.66
2/23/2017,264
2/22/2017,280.31
2/21/2017,275.45
2/17/2017,265.8
2/16/2017,277.6
2/15/2017,280
2/14/2017,279.03
2/13/2017,270.74
2/10/2017,269.79
2/9/2017,266.25
2/8/2017,257.35
2/7/2017,258.19
2/6/2017,251
2/3/2017,251.91
2/2/2017,248.34
2/1/2017,253.05
1/31/2017,249.24
1/30/2017,252.53
1/27/2017,251.38
1/26/2017,254.29
1/25/2017,257.31
1/24/2017,250
1/23/2017,245.85
1/20/2017,245.46
1/19/2017,247.25
