Date,Retweets,Favorites,Subjectivity,Polarity
9/14/2018,33639.0,89269.0,0.2255969081080648,0.5781253753291273
9/13/2018,5657.0,54863.0,0.5144165381508409,0.5379941892487332
9/12/2018,1870.0,36490.0,0.41022852115298675,0.5400298627662743
9/11/2018,18112.0,75126.0,0.3004081720206047,0.720482988235943
9/10/2018,3273.0,0.0,0.7350247818854603,0.6896217367688495
9/9/2018,6569.0,0.0,0.3917567361851119,0.6602641193484549
9/8/2018,14827.0,159005.0,0.6711018359717967,0.5190719194544008
9/7/2018,16038.0,123579.0,0.3049060235194446,0.673733908785156
9/6/2018,3208.0,14235.0,0.015775191576372565,0.49211240421181374
9/5/2018,18570.0,109329.0,0.0035434768282562243,0.500440730948788
9/3/2018,8429.0,13953.0,0.4474410240371727,0.6951316906442677
8/31/2018,4823.0,59131.0,0.4053526753604153,0.8618540767582951
8/30/2018,1483.0,8447.0,0.0,0.5
8/29/2018,149.0,7034.0,0.0,0.5
8/28/2018,3892.0,39831.0,0.1742892121359976,0.5572669609435156
8/27/2018,18.0,588.0,0.0,0.5
8/26/2018,9683.0,93667.0,0.6833333333333333,0.7366666666666667
8/25/2018,29077.0,129432.0,0.35659076991972916,0.6052288449747032
8/24/2018,6668.0,72547.0,0.3455601141759066,0.500752452888412
8/23/2018,6645.0,66329.0,0.5224155178556746,0.6529276408949305
8/22/2018,398.0,12153.0,0.42654609194486504,0.6575101585531034
8/21/2018,6251.0,68227.0,0.05510352050269878,0.5191251107709659
8/20/2018,3751.0,0.0,0.45454545454545453,0.6065340909090909
8/19/2018,4046.0,44765.0,0.4862633422794042,0.5
8/18/2018,7348.0,105041.0,0.7644689921216093,0.9326635366648179
8/16/2018,17902.0,121305.0,0.8712023341738083,0.5122185665950706
8/15/2018,3892.0,0.0,0.6,0.75
8/14/2018,6469.0,22327.0,0.27483302078992455,0.5821175250034727
8/13/2018,680.0,18139.0,0.5836503887914697,0.7688526223497529
8/12/2018,3356.0,32625.0,0.5,0.6071428571428571
8/11/2018,34347.0,218446.0,0.24735998190124686,0.5351000281992437
8/10/2018,2491.0,9173.0,0.4213458855530615,0.5930176085702705
8/9/2018,716.0,0.0,0.45,0.6
8/8/2018,2208.0,13966.0,0.09339603684926426,0.5120965747495981
8/7/2018,30678.0,215702.0,0.4488700832499031,0.5893021345914234
8/6/2018,8556.0,16942.0,0.3703947368421052,0.5997950819672131
8/5/2018,5999.0,59384.0,0.2411527832042339,0.5492795354088428
8/4/2018,1887.0,29409.0,0.26802946063394684,0.5721617778629857
8/3/2018,1836.0,0.0,0.0,0.5
8/2/2018,2701.0,592.0,0.43041679319769205,0.5760419829942303
8/1/2018,26494.0,204739.0,0.39005997317760777,0.554462701642451
7/31/2018,7192.0,87762.0,0.4534821246779142,0.5012500351047173
7/30/2018,4734.0,59376.0,0.3816847306318527,0.5828489937591483
7/29/2018,18987.0,125208.0,0.14208831790283993,0.5437019314123236
7/28/2018,1265.0,20220.0,0.26678147544798697,0.6402175936700023
7/27/2018,3842.0,15793.0,0.11245734657499364,0.5562286732874968
7/26/2018,3376.0,30251.0,0.2280444285841734,0.5742238379873317
7/25/2018,14865.0,39480.0,0.15218204679976693,0.5263306191921979
7/24/2018,1520.0,631.0,0.22768479776847977,0.6517898651789865
7/23/2018,3445.0,32158.0,0.26243472660811085,0.560905942918133
7/22/2018,1715.0,767.0,0.08249395648670427,0.5412469782433521
7/21/2018,6761.0,72064.0,0.2003580300307227,0.5555530567328855
7/20/2018,950.0,16826.0,0.11674448694869488,0.5
7/19/2018,2949.0,14835.0,0.485683249499039,0.46163763137447344
7/18/2018,12287.0,55317.0,0.13356901958463996,0.4389799420152653
7/17/2018,3190.0,1465.0,0.5381274615109202,0.6270676691729322
7/15/2018,12199.0,121870.0,0.27988479812633793,0.4906554181056023
7/14/2018,10888.0,95799.0,0.3025625974423625,0.5428568694717569
7/13/2018,5336.0,43393.0,0.1761784563606887,0.5749604958033204
7/12/2018,16333.0,169517.0,0.605256347711715,0.688843646309748
7/11/2018,45293.0,285464.0,0.17038701888803323,0.5644506209925083
7/10/2018,51107.0,304441.0,0.4171256061066298,0.647051230307394
7/9/2018,109870.0,412173.0,0.43405782665412623,0.5351272308986041
7/8/2018,98192.0,568094.0,0.14416989493858134,0.5415072007902227
7/7/2018,56794.0,335402.0,0.45174204351905684,0.7508819761037848
7/6/2018,20253.0,82060.0,0.6251036850970388,0.40018859610541513
7/5/2018,9273.0,89654.0,0.3375940307756192,0.5172761649162176
7/4/2018,8320.0,43892.0,0.5150882938788018,0.7050422316708802
7/3/2018,4970.0,41846.0,0.0,0.5
7/2/2018,359.0,10761.0,0.806310451638689,0.7296852517985611
7/1/2018,14266.0,151874.0,0.0,0.5
6/30/2018,62.0,1614.0,0.0,0.5
6/29/2018,51307.0,306359.0,0.6069515507018651,0.6383994890950401
6/28/2018,3690.0,78084.0,0.3505743471845167,0.6998634447786989
6/27/2018,9085.0,53438.0,0.5342412319539137,0.6799171097460378
6/26/2018,14261.0,132029.0,0.5314573260114994,0.427643354386023
6/25/2018,17963.0,129297.0,0.5273523963662154,0.6005228921246509
6/24/2018,6888.0,57690.0,0.8913701260491189,0.2290052339806126
6/23/2018,21106.0,259796.0,0.044896262753558173,0.48899082242205466
6/22/2018,7094.0,52600.0,0.17849169654124927,0.5195276814531891
6/21/2018,11368.0,103031.0,0.06556875497163436,0.4941651587863531
6/20/2018,9733.0,28038.0,0.29650475106248053,0.5416136706827233
6/19/2018,7501.0,102598.0,0.32603690457939827,0.5465282257708848
